Artículo;Descripción:;U/M almacenamiento;Peso unitario;U/M de peso;Gramaje;Ancho;Altura;UM dimensional;Área M2;Fecha de creación
SE000001;BOND BCO 75 gr 70 X 100 cm;UN;52,5;GR;75;70;100;CM;0,7;7/12/2006
SE000002;BOND BCO 75 gr 84 X 55,3cm;UN;34,839;GR;75;84;55,3;CM;0,465;7/12/2006
SE000003;BOND BCO 75 gr 48,5 X 73,4cm;UN;26,699;GR;75;48,5;73,4;CM;0,356;7/12/2006
SE000004;BOND BCO 75 gr 56 X 79 cm;UN;33,18;GR;75;56;79;CM;0,442;7/12/2006
SE000005;BOND BCO 75 gr 48,3 X 72,5 cm;UN;26,263;GR;75;48,3;72,5;CM;0,35;7/12/2006
SE000006;OFFS BCO 75 gr 98 X 68 cm;UN;49,98;GR;75;98;68;CM;0,666;7/12/2006
SE000007;OFFS BCO 75 gr 83,3 X 63,5 cm;UN;39,672;GR;75;83,3;63,5;CM;0,529;7/12/2006
SE000008;OFFS BCO 75 gr 48,5 X 23,5 cm;UN;8,548;GR;75;48,5;23,5;CM;0,114;7/12/2006
SE000009;OFFS BCO 75 gr 55,5 X26,5 cm;UN;11,031;GR;75;55,5;26,5;CM;0,147;7/12/2006
SE000010;OFFS BCO 75 gr 99 X 88,5 cm;UN;65,711;GR;75;99;88,5;CM;0,876;7/12/2006
SE000011;OFFS BCO 75 gr 100 X 85,5 cm;UN;64,125;GR;75;100;85,5;CM;0,855;7/12/2006
SE000012;OFFS BCO 75 gr 83 X 52 cm;UN;32,37;GR;75;83;52;CM;0,432;7/12/2006
SE000013;OFFS BCO 75 gr 95 X 54 cm;UN;38,475;GR;75;95;54;CM;0,513;7/12/2006
SE000014;OFFS BCO 75gr 96 X 72,5 cm S/R;UN;52,2;GR;75;96;72,5;CM;0,696;7/12/2006
SE000015;OFFS BCO 75 gr 83,5 X 55,6 cm;UN;34,82;GR;75;83,5;55,6;CM;0,464;7/12/2006
SE000016;OFFS BCO 75 gr 69,5 X 97,1 cm;UN;50,61;GR;75;69,5;97,1;CM;0,674;7/12/2006
SE000017;OFFS BCO 75 gr 98 X 68 cm;UN;49,98;GR;75;98;68;CM;0,666;7/12/2006
SE000018;OFFS BCO 75 gr 76 X107 cm;UN;60,99;GR;75;76;107;CM;0,813;7/12/2006
SE000019;OFFS BCO 75 gr 83 X 50,5 cm;UN;31,436;GR;75;83;50,5;CM;0,419;7/12/2006
SE000020;OFFS BCO 75 gr 48,3 X 72,5 cm;UN;26,263;GR;75;48,3;72,5;CM;0,35;7/12/2006
SE000021;OFFS BCO 75 gr 37,6 X 49 cm;UN;13,818;GR;75;37,6;49;CM;0,184;7/12/2006
SE000022;OFFS BCO 75 gr 98 X 67,5 cm;UN;49,613;GR;75;98;67,5;CM;0,662;7/12/2006
SE000023;OFFS BCO 75 gr 95 X 54,5 cm;UN;38,831;GR;75;95;54,5;CM;0,518;7/12/2006
SE000024;OFFS BCO 75 gr 87,5 X 67,5 cm;UN;44,297;GR;75;87,5;67,5;CM;0,591;7/12/2006
SE000025;OFFS BCO 75 gr 95 X 57 cm;UN;40,613;GR;75;95;57;CM;0,542;7/12/2006
SE000026;OFFS BCO 75 gr 48 X 50,3 cm;UN;18,108;GR;75;48;50,3;CM;0,241;7/12/2006
SE000027;OFFS BCO 90 gr 70 X 100 cm;UN;63;GR;90;70;100;CM;0,7;7/12/2006
SE000028;REPROG ALTA BCO 75 gr 86,7X58;UN;37,715;GR;75;86,7;58;CM;0,503;7/12/2006
SE000029;OFFS ULTRABCO 75 gr 35,5X51cm;UN;13,579;GR;75;35,5;51;CM;0,181;7/12/2006
SE000030;OFFS ULTRABCO 90 gr 70X100cm;UN;63;GR;90;70;100;CM;0,7;7/12/2006
SE000031;OFFS ULTRABCO 90 gr 53X125cm;UN;59,625;GR;90;53;125;CM;0,663;7/12/2006
SE000032;ECOL 60 gr 76 X 92 cm;UN;41,952;GR;60;76;92;CM;0,699;7/12/2006
SE000033;ECOL 60 gr 53 X 114,2 cm;UN;36,316;GR;60;53;114,2;CM;0,605;7/12/2006
SE000034;ECOL 60 gr 53 X 125,6 cm;UN;39,941;GR;60;53;125,6;CM;0,666;7/12/2006
SE000035;ECOL 60 gr 57 X 88,2 cm;UN;30,164;GR;60;57;88,2;CM;0,503;7/12/2006
SE000036;ECOL 60 gr 90 X 111,8 cm;UN;60,372;GR;60;90;111,8;CM;1,006;7/12/2006
SE000037;ECOL 60 gr 90 X 100,7 cm;UN;54,378;GR;60;90;100,7;CM;0,906;7/12/2006
SE000038;ECOL 60 gr 64 X 92 cm;UN;35,328;GR;60;64;92;CM;0,589;7/12/2006
SE000039;ECOL 60 gr 96 X 72,5 cm;UN;41,76;GR;60;96;72,5;CM;0,696;7/12/2006
SE000040;ECOL 60 gr 53 X 72,5 cm;UN;23,055;GR;60;53;72,5;CM;0,384;7/12/2006
SE000041;ECOL 60 gr 76 X 107 cm;UN;48,792;GR;60;76;107;CM;0,813;7/12/2006
SE000042;MANILA ECOL 60gr 76 X 95,6 cm;UN;43,594;GR;60;76;95,6;CM;0,727;7/12/2006
SE000043;ECOL 60 gr 92 X 114,2 cm;UN;63,038;GR;60;92;114,2;CM;1,051;7/12/2006
SE000044;MANILA 60 gr 76 X 92 cm;UN;41,952;GR;60;76;92;CM;0,699;7/12/2006
SE000045;MANILA 60 gr 53 X 114,2 cm;UN;36,316;GR;60;53;114,2;CM;0,605;7/12/2006
SE000046;MANILA 60 gr 53 X 125,6 cm;UN;39,941;GR;60;53;125,6;CM;0,666;7/12/2006
SE000047;MANILA 60 gr 76 X 107 cm;UN;48,792;GR;60;76;107;CM;0,813;7/12/2006
SE000048;MANILA 60 gr 57 X 125,6 cm;UN;42,955;GR;60;57;125,6;CM;0,716;7/12/2006
SE000051;MANILA 90 gr 38 X 69 cm;UN;23,598;GR;90;38;69;CM;0,262;7/12/2006
SE000052;MANILA 90 gr 41,5 X 106 cm;UN;39,591;GR;90;41,5;106;CM;0,44;7/12/2006
SE000053;ESMALTADO C2S 90 gr 70 X 100;UN;63;GR;90;70;100;CM;0,7;7/12/2006
SE000054;PAPEL KIMBERLY 90 gr;UN;0;;0;0;0;;0;7/12/2006
SE000055;ECOL 60 gr 64 X 95,6 cm;UN;36,71;GR;60;64;95,6;CM;0,612;7/12/2006
SE000056;OFFS BCO 75 gr 53 x 125,6 cm;UN;49,926;GR;75;53;125,6;CM;0,666;7/12/2006
SE300001;TROQ ECOL 60 gr SOBRE DE PAGO;UN;2,349;GR;60;0;0;;0,039;7/12/2006
SE300002;TROQ ECOL 60 gr 1/2 CARTA;UN;5,776;GR;60;0;0;;0,096;7/12/2006
SE300003;TROQ ECOL 60 gr 1/2 OFICIO;UN;7,695;GR;0;0;0;;0,128;7/12/2006
SE300004;TROQ ECOL 60 gr CARTA;UN;8,526;GR;60;0;0;;0,142;7/12/2006
SE300005;TROQ ECOL 60 gr CARTA ESP;UN;10,338;GR;60;0;0;;0,172;7/12/2006
SE300006;TROQ ECOL 60 gr OFICIO;UN;11,54;GR;60;25;35;CM;0,192;7/12/2006
SE300007;TROQ ECOL 60 gr GIGANTE;UN;13,16;GR;0;0;0;;0,219;7/12/2006
SE300008;TROQ ECOL 60 gr GIGANTE ESP;UN;15,954;GR;0;0;0;;0,265;7/12/2006
SE300009;TROQ ECOL 60 gr RADIOGRAFIA;UN;21,072;GR;60;0;0;;0,351;7/12/2006
SE300010;TROQ BOND 75 gr CARTA;UN;10,659;GR;75;0;0;;0,142;7/12/2006
SE300011;TROQ BOND 75 gr OFICIO;UN;14,427;GR;75;25;35;;0,192;7/12/2006
SE500001;BOB FORMAS 60 gr de 10 5/8 BCA;KG;1;KG;60;10,625;2431,368;IN;16,666;7/12/2006
SE500002;BOB FORMAS 60 gr de 10 5/8 RDA;KG;1;KG;60;10,625;2431,368;IN;16,666;7/12/2006
SE500003;BOB FORMAS 60 gr de 14 7/8 BCA;KG;1;KG;60;14,875;1736,691;IN;16,666;7/12/2006
SE500004;BOB FORMAS 60 gr de 14 7/8 RDA;KG;1;KG;60;14,875;1736,69;IN;16,666;7/12/2006
SE500005;BOB FORMAS 60 gr de 9 1/2 BCA;KG;1;KG;60;9,5;0;IN;16,666;7/12/2006
SE500006;BOB FORMAS 60 gr de 9 1/2 RDA;KG;1;KG;60;9,5;2719,293;IN;16,666;7/12/2006
SE000057;MANILA 60 gr 90 X 100,7 cm;UN;54,378;GR;60;90;100,7;CM;0,906;18/01/2007
SE000058;MANILA 60 gr 96 X 72,5 cm;UN;41,76;GR;60;96;72,5;CM;0,696;18/01/2007
SE000059;MANILA 60 gr 57 X 88,2 cm;UN;30,164;GR;60;57;88,2;CM;0,503;18/01/2007
SE000060;MANILA 60 gr 64 X 95,6 cm;UN;36,71;GR;60;64;95,6;CM;0,612;18/01/2007
SE000061;BOND BCO 90 gr 48,3 X 72,5 cm;UN;31,516;GR;90;48,3;72,5;CM;0,35;18/01/2007
SE000062;BOND BCO 90 gr 53 X 125,6 cm;UN;59,911;GR;90;53;125,6;CM;0,666;18/01/2007
SE300013;TROQ MANILA 60 gr 1/2 CARTA;UN;5,776;GR;60;0;0;;0,096;18/01/2007
SE300014;TROQ MANILA 60 gr 1/2 OFICIO;UN;7,695;GR;60;0;0;;0,128;18/01/2007
SE300015;TROQ MANILA 60 gr CARTA;UN;8,528;GR;60;0;0;;0,142;18/01/2007
SE300016;TROQ MANILA 60 gr CARTA ESP;UN;10,337;GR;60;0;0;;0,172;18/01/2007
SE300017;TROQ MANILA 60 gr OFICIO;UN;11,542;GR;60;0;0;;0,192;18/01/2007
SE300018;TROQ MANILA 60 gr GIGANTE;UN;13,159;GR;60;0;0;;0,219;18/01/2007
SE300019;TROQ MANILA 60 gr GIGANTE ESP;UN;15,954;GR;60;0;0;;0,266;18/01/2007
SE300020;TROQ MANILA 60 gr RADIOGRAFIA;UN;21,07;GR;60;0;0;;0,351;18/01/2007
SE300021;TROQ BOND 90 gr CARTA;UN;12,792;GR;90;0;0;;0,142;18/01/2007
SE300022;TROQ BOND 90 gr OFICIO;UN;17,312;GR;90;0;0;;0,192;18/01/2007
SE382084;TROQ OFFS75gr 23,4X12cm PROTEC;UN;4,64;GR;75;23,4;12;CM;0,062;1/03/2007
SE382103;TROQ OFFS75gr 23,5X15cm COMCEL;UN;5,806;GR;75;23,5;15;CM;0,077;1/03/2007
SE382267;TROQ OFFS75gr 23,7X14,5 AVVILL;UN;5,531;GR;75;23,7;14,5;CM;0,073;1/03/2007
SE382283;TROQ OFFS75gr 23,4X10,5cm BANC;UN;4,245;GR;75;23,4;10,5;CM;0,056;1/03/2007
SE382287;TROQ OFFS75gr 23,4X10,5cm BANC;UN;4,245;GR;75;23,4;10,5;CM;0,056;1/03/2007
SE382288;TROQ OFFS75gr 19,5X12cm BANCOL;UN;3,904;GR;75;19,5;12;CM;0,052;1/03/2007
SE384213;TROQ OFFS75gr 22,5X29cm BOGOTA;UN;10,995;GR;75;22,5;29;CM;0,146;1/03/2007
SE384214;TROQ OFFS90gr 22,5X29cm PROTEC;UN;10,995;GR;90;22,5;29;CM;0,146;1/03/2007
SE384269;TROQ OFFS75gr 22,5X29cm BANCOL;UN;10,995;GR;75;22,5;29;CM;0,146;1/03/2007
SE384270;TROQ OFFS75gr 22,5X29cm BANCOL;UN;10,995;GR;75;22,5;29;CM;0,146;1/03/2007
SE5181063;BOB TCO 55gr 76X400 IMP 1:1;KG;1;KG;55;48,3;3764,352;CM;18,182;1/03/2007
SE5181141;BOB TCO 55gr 63,25cm IMP 1:1;KG;1;KG;55;48,3;3764,352;CM;18,182;1/03/2007
SE5186118;"BOB QCO CB 54 gr 11 1/4"" IMP";UN;2,874;GR;54;11,25;7,333;IN;0,053;1/03/2007
SE5186170;"BOB QCO CB 54 gr 8 1/2"" IMP";UN;1,086;GR;54;8,5;3,667;IN;0,02;1/03/2007
SE5186194;"BOB FORMAS 60gr 9""IMP Entidad";UN;0,958;GR;60;9;2,75;IN;0,016;1/03/2007
SE5186210;"BOB FOR60gr 7 7/16""IMP Oficina";UN;1,056;GR;60;7,438;3,667;IN;0,018;1/03/2007
SE5186261;"BOB QCO CB 54 gr 9 1/2"" IMP";UN;3,624;GR;53,75;9,5;11;IN;0,067;1/03/2007
SE5186477;"BOB QCO CB 54 gr 13 5/8"" IMP";UN;4,005;GR;53,6;13,625;8,5;IN;0,075;1/03/2007
SE5186602;"BOB QCO CB 54 gr 8 1/2"" IMP";UN;2,192;GR;54,5;8,5;7,333;IN;0,04;1/03/2007
SE5186640;"BOB QCO CB 54 gr 9 1/2"" IMP";UN;1,837;GR;54,5;9,5;5,5;IN;0,034;1/03/2007
SE5186783;"BOB QCO CB 54 gr 13"" IMP";UN;3,85;GR;54;13;8,5;IN;0,071;1/03/2007
SE5186927;"BOB FOR 60gr 7 1/3""IMP Banco";UN;1,206;GR;60;7,333;4,25;IN;0,02;1/03/2007
SE5186929;"BOB FORMAS 60gr 9 1/2"" IMP";UN;4,045;GR;60;9,5;11;IN;0,067;1/03/2007
SE5186965;"BOB FOR 60gr 9 1/6""IMP Entidad";UN;0,976;GR;60;9,166;2,75;IN;0,016;1/03/2007
SE5186966;"BOB FOR 60gr 9 1/6""IMP Banco";UN;0,976;GR;60;9,166;2,75;IN;0,016;1/03/2007
SE5187072;BOB FOR60gr 7 7/16IMP Original;UN;0,851;GR;56;7,5;3,143;IN;0,015;1/03/2007
SE5187084;"BOB QCO CB 54 gr 11 1/4"" IMP";UN;2,874;GR;54,5;11,25;7,333;IN;0,053;1/03/2007
SE5187085;"BOB QCO CB 54 gr 11 1/4"" IMP";UN;2,874;GR;54;11,25;7,333;IN;0,053;1/03/2007
SE5187086;"BOB QCO CB 54 gr 11 1/4"" IMP";UN;2,874;GR;54;11,25;7,333;IN;0,053;1/03/2007
SE5187087;"BOB QCO CB 54 gr 11 1/4"" IMP";UN;2,874;GR;54;11,25;7,333;IN;0,053;1/03/2007
SE5187088;"BOB QCO CB 54 gr 11 1/4"" IMP";UN;2,874;GR;54;11,25;7,333;IN;0,053;1/03/2007
SE5187089;"BOB QCO CB 54 gr 11 1/4"" IMP";UN;2,874;GR;54;11,25;7,333;IN;0,053;1/03/2007
SE5187090;"BOB QCO CB 54 gr 11 1/4"" IMP";UN;2,874;GR;54;11,25;7,333;IN;0,053;1/03/2007
SE5187091;"BOB QCO CB 54 gr 11 1/4"" IMP";UN;2,874;GR;54;11,25;7,333;IN;0,053;1/03/2007
SE5187092;"BOB QCO CB 54 gr 11 1/4"" IMP";UN;2,874;GR;54;11,25;7,333;IN;0,053;1/03/2007
SE5187093;"BOB QCO CB 54 gr 11 1/4"" IMP";UN;2,874;GR;54;11,25;7,333;IN;0,053;1/03/2007
SE5187095;"BOB QCO CB 54 gr 11 1/4"" IMP";UN;2,874;GR;54;11,25;7,333;IN;0,053;1/03/2007
SE5187096;"BOB QCO CB 54 gr 11 1/4"" IMP";UN;2,874;GR;54;11,25;7,333;IN;0,053;1/03/2007
SE5187097;"BOB QCO CB 54 gr 11 1/4"" IMP";UN;2,874;GR;54;11,25;7,333;IN;0,053;1/03/2007
SE5187130;"BOB QCO CB 54 gr  8"" IMP";UN;2,391;GR;54,5;8;8,5;IN;0,044;1/03/2007
SE5187134;"BOB QCO CB 54 gr 8 1/2"" IMP";UN;2,192;GR;54,5;8,5;7,333;IN;0,04;1/03/2007
SE5187151;"BOB FORMAS 60 gr 6 1/2"" IMP";UN;1,384;GR;60;6,5;5,5;IN;0,023;1/03/2007
SE5187152;"BOB FORMAS 60 gr 6 1/2"" IMP";UN;1,384;GR;60;6,5;5,5;IN;0,023;1/03/2007
SE5187185;"BOB FOR 60gr 9 1/2"" BCA TROQUE";UN;4,045;GR;60;9,5;11;IN;0,067;1/03/2007
SE5187193;"BOB FORMAS 60gr 7"" IMP Banco";UN;0,745;GR;60;7;2,75;IN;0,012;1/03/2007
SE5187284;"BOB QCO CB 54 gr 8 1/2"" IMP";UN;1,096;GR;54,5;8,5;3,667;IN;0,02;1/03/2007
SE600001;ROLLO REBOB TCO 55gr 63,25cm;KG;1;KG;55;63,25;0;CM;18,182;1/03/2007
SE782283;OFFS 75gr 48,3X55,88cm IMP 3:1;UN;20,243;GR;75;48,3;55,88;CM;0,27;1/03/2007
SE782288;OFFS 75gr 48,3X55,88cm IMP 3:1;UN;20,243;GR;75;48,3;55,88;CM;0,27;1/03/2007
SE000070;MANILA 75 gr 90 X 100,7 cm;UN;67,973;GR;75;90;100,7;CM;0,906;10/05/2007
SE000064;MANILA 75 gr 53 X 114,2 cm;UN;45,395;GR;75;53;114,2;CM;0,605;11/05/2007
SE000065;MANILA 75 gr 53 X 125,6 cm;UN;49,926;GR;75;53;125,6;CM;0,666;11/05/2007
SE000066;MANILA 75 gr 57 X 88,2 cm;UN;37,706;GR;75;57;88,2;CM;0,503;11/05/2007
SE000067;MANILA 75 gr 64 X 95,6 cm;UN;45,888;GR;75;64;95,6;CM;0,612;11/05/2007
SE000068;MANILA 75 gr 76 X 92 cm;UN;52,44;GR;75;76;92;CM;0,699;11/05/2007
SE000069;MANILA 75 gr 76 X 107 cm;UN;60,99;GR;75;76;107;CM;0,813;11/05/2007
SE000071;MANILA 75 gr 96 X 72,5 cm;UN;52,2;GR;75;96;72,5;CM;0,696;11/05/2007
SE000072;BOND BCO 75 gr 48,3 X 72,5 cm;UN;26,25;GR;75;48,3;72,5;CM;0,35;11/05/2007
SE000074;OFFS BCO 90 gr 48,3 X 72,5 cm;UN;31,515;GR;90;48,3;72,5;CM;0,35;11/05/2007
SE000075;OFFS BCO 75 gr 48 X 54,3 cm;UN;19,548;GR;75;48;54,3;CM;0,261;11/05/2007
SE000076;OFFS BCO 75 gr 52 X 54,5 cm;UN;21,255;GR;75;52;54,5;CM;0,283;11/05/2007
SE000078;OFFS BCO 90 gr 48,3 X 72,5 cm;UN;31,516;GR;90;48,3;72,5;CM;0,35;11/05/2007
SE000073;OFFS BCO 75 gr 99 X 85,5 cm;UN;63,484;GR;75;99;85,5;CM;0,846;15/05/2007
SE000077;OFFS BCO 75 gr 59,2 X 98 cm;UN;43,512;GR;75;59,2;98;CM;0,58;15/05/2007
SE000079;OFFS BCO 90 gr 26 X 28 cm;UN;6,552;GR;90;26;28;CM;0,073;15/05/2007
SE000080;OFFS BCO 90 gr 51 X 35,5 cm;UN;16,3;GR;90;51;35,5;CM;0,181;15/05/2007
SE000081;MANILA 90 gr 41,5 X 106 cm;UN;39,591;GR;90;41,5;106;CM;0,44;15/05/2007
SE382302;TROQ OFFS 75 gr 23,5 X 15 cm;UN;5,531;GR;75;23,5;15;;0,073;22/05/2007
SE382303;TROQ BOND 75 gr 23,4 X 12 cm;UN;4,823;GR;75;23,4;12;;0,064;22/05/2007
SE5181190;BOB TCO 55gr 63,25cm IMP 0:4;KG;1;KG;55;48,3;3764,352;CM;18,182;22/05/2007
SE5187378;BOB LASER 90 gr 28 cm IMP 2:0;UN;0,808;GR;90;10,125;1,375;IN;0,009;22/05/2007
SE5187385;BOB OFFS 75 gr 27 cm IMP 1:0;UN;0,674;GR;75;10,125;1,375;IN;0,009;22/05/2007
SE5187386;BOB OFFS 75 gr 27 cm IMP 1:0;UN;0,674;GR;75;10,125;1,375;IN;0,009;22/05/2007
SE5187387;BOB OFFS 75 gr 27 cm IMP 1:0;UN;0,674;GR;75;10,125;1,375;IN;0,009;22/05/2007
SE5187388;BOB OFFS 75 gr 27 cm IMP 1:0;UN;0,674;GR;75;10,125;1,375;IN;0,009;22/05/2007
SE5187389;BOB OFFS 75 gr 27 cm IMP 1:0;UN;0,674;GR;75;10,125;1,375;IN;0,009;22/05/2007
SE5187390;"BOB CB 54 gr 8"" IMP Banco";UN;1,185;GR;54;8;4,25;IN;0,022;22/05/2007
SE5187391;"BOB FOR 75 gr 9 7/8"" IMP 1:0";UN;2,031;GR;75;9,875;4,25;IN;0,027;22/05/2007
SE5187392;BOB OFFS 75 gr 27 cm IMP 1:0;UN;0,674;GR;75;10,125;1,375;IN;0,009;22/05/2007
SE5187394;"BOB FOR 60 gr 9 1/2""  IMP 1:0";UN;4,781;GR;60;9,5;13;IN;0,08;22/05/2007
SE5187398;"BOB CB 54 gr 12 5/8""  IMP 1:0";UN;3,773;GR;54,5;12,625;8,5;IN;0,069;22/05/2007
SE5187399;"BOB CB 54 gr 12 5/8""  IMP 1:0";UN;3,773;GR;54,5;12,625;8,5;IN;0,069;22/05/2007
SE5187400;"BOB CB 54 gr 5 2/3""  IMP 1:1";UN;0,839;GR;54;5,666;4,25;IN;0,016;22/05/2007
SE5187401;"BOB CB 54 gr 14 7/8""  IMP 1:0";UN;1,918;GR;54,5;14,875;3,667;IN;0,035;22/05/2007
SE5187404;"BOB FOR 60 gr 9 1/2""  IMP 1:0";UN;4,781;GR;60;9,5;13;IN;0,08;22/05/2007
SE5187405;"BOB CB 54 gr 5 1/2""  IMP 2:1";UN;0,548;GR;54,5;5,5;2,833;IN;0,01;22/05/2007
SE5187406;"BOB CB 54 gr 8 1/2""  IMP 1:0";UN;0,814;GR;54;8,5;2,75;IN;0,015;22/05/2007
SE5187407;"BOB BOND 90 gr 5 3/4"" IMP 2:0";UN;3,673;GR;90;5,75;11;IN;0,041;22/05/2007
SE5187410;"BOB CB 54 gr 9 1/2"" IMP 2:0";UN;5,626;GR;54;9,5;17;IN;0,104;22/05/2007
SE5187411;"BOB FOR 60 gr 7"" IMP 2:0";UN;0,658;GR;60;7;2,429;IN;0,012;22/05/2007
SE5187412;"BOB CB 54 gr 9 1/2"" IMP 1:0";UN;1,837;GR;54,5;9,5;5,5;IN;0,034;22/05/2007
SE5187413;"BOB CB 54 gr 9 1/2"" IMP 1:0";UN;1,837;GR;54,5;9,5;5,5;IN;0,034;22/05/2007
SE5187415;"BOB FOR 60 gr 9 1/2"" IMP 1:0";UN;4,045;GR;60;9,5;11;IN;0,067;22/05/2007
SE5187428;"BOB CB 54 gr 9 1/2"" IMP 2:1";UN;2,839;GR;54,5;9,5;8,5;IN;0,052;22/05/2007
SE5187429;"BOB FOR 60 gr 6 1/2"" IMP 1:0";UN;0,713;GR;60;6,5;2,833;IN;0,012;22/05/2007
SE5187432;"BOB CB 54 gr 8 1/2"" IMP 2:1";UN;1,078;GR;53,6;8,5;3,667;IN;0,02;22/05/2007
SE5287391;"BOB FOR 75 gr 9""";UN;2,031;GR;75;9,875;4,25;IN;0,027;22/05/2007
SE5287407;"BOB BOND 90 gr 5"" IMP 1:0";UN;3,673;GR;90;5,75;11;IN;0,041;22/05/2007
SE2182302;OFFS BCO 75gr 59,2X98  IMP 2:0;UN;43,365;GR;75;59;98;CM;0,578;23/05/2007
SE2182303;BOND 75gr 83,5x55,6 cm IMP 2:0;UN;34,82;GR;75;83,5;55,6;CM;0,464;23/05/2007
SE2282302;OFFS BCO 75gr 59,2X98  IMP 4:0;UN;43,365;GR;75;59;98;CM;0,578;23/05/2007
SE2282303;BOND 75gr 83,5x55,6 cm IMP 4:0;UN;34,82;GR;75;83,5;55,6;CM;0,464;23/05/2007
SE297101;BOND 90gr 49x55,88cm IMP 4:4;UN;24,643;GR;90;49;55,88;CM;0,274;23/05/2007
SE5187380;"BOB CB 54 gr 7 1/2"" IMP 4:0";UN;1,916;GR;54;7,5;7,333;IN;0,035;23/05/2007
SE5187381;"BOB CB 54 gr 12"" IMP 1:1";UN;3,586;GR;54,5;12;8,5;IN;0,066;23/05/2007
SE5187382;"BOB FOR 60 gr 7 7/16"" IMP 1:1";UN;1,056;GR;60;7,438;3,667;IN;0,018;23/05/2007
SE5187383;"BOB FOR 60 gr 9 1/2"" IMP 1:1";UN;4,78;GR;60;9,5;13;IN;0,08;23/05/2007
SE5187416;"BOB FOR 60 gr 9 1/2"" IMP 1:0";UN;4,045;GR;60;9,5;11;IN;0,067;23/05/2007
SE5187417;"BOB CB 54 gr 9 1/2"" IMP 1:1";UN;0,938;GR;54;9,5;2,833;IN;0,017;23/05/2007
SE5187418;"BOB CB 54 gr 9 1/2"" IMP 1:0";UN;1,837;GR;54,5;9,5;5,5;IN;0,034;23/05/2007
SE5187419;"BOB CB 54 gr 9 1/2"" IMP 1:0";UN;1,837;GR;54,5;9,5;5,5;IN;0,034;23/05/2007
SE5187423;"BOB CB 54 gr 4 1/4"" IMP 1:0";UN;0,962;GR;54;4,25;6,5;IN;0,018;23/05/2007
SE5187425;"BOB CB 54 gr 9 1/2"" IMP 3:0";UN;1,82;GR;54;9,5;5,5;IN;0,034;23/05/2007
SE5187426;"BOB CB 54 gr 11 7/8"" IMP 1:0";UN;1,517;GR;54;11,875;3,667;IN;0,028;23/05/2007
SE5187427;"BOB FOR 60 gr 7"" IMP 1:0";UN;0,994;GR;60;7;3,667;IN;0,017;23/05/2007
SE5187433;"BOB FOR 60 gr 9 1/2"" IMP 1:0";UN;4,045;GR;60;9,5;11;IN;0,067;23/05/2007
SE5187434;"BOB FOR 60gr 9 1/2x11"" IMP1:0";UN;4,045;GR;60;9,5;11;IN;0,067;23/05/2007
SE5187435;"BOB FOR 60gr 9 1/2x11"" IMP1:0";UN;4,045;GR;60;9,5;11;IN;0,067;23/05/2007
SE5187436;"BOB FOR 60gr 9 1/2x11"" IMP1:0";UN;4,045;GR;60;9,5;11;IN;0,067;23/05/2007
SE5187437;"BOB FOR 60gr 9 1/2x13"" IMP1:0";UN;4,781;GR;60;9,5;13;IN;0,08;23/05/2007
SE5187438;"BOB FOR 60gr 9 1/2x5,5""IMP1:0";UN;2,023;GR;60;9,5;5,5;IN;0,034;23/05/2007
SE5187439;"BOB FOR 60 gr 7 7/16"" IMP 1:0";UN;1,056;GR;60;7,438;3,667;IN;0,018;23/05/2007
SE5187440;"BOB CB 54 gr 8"" IMP 1:1";UN;2,369;GR;54;8;8,5;IN;0,044;23/05/2007
SE5187441;"BOB CB 54 gr 9 1/2"" SIN IMPRES";UN;3,674;GR;54,5;9,5;11;IN;0,067;23/05/2007
SE797101;BOND 90 gr 49x55,88 cm IMP 4:0;UN;20,25;GR;90;49;55,88;CM;0,274;23/05/2007
SE300023;TROQ MANILA 75 gr CARTA;UN;10,65;GR;75;0;0;;0,142;25/05/2007
SE300024;TROQ MANILA 75 gr OFICIO;UN;14,4;GR;75;0;0;;0,192;25/05/2007
SE300025;TROQ MANILA 75 gr 1/2 CARTA;UN;7,2;GR;75;0;0;;0,096;25/05/2007
SE300026;TROQ MANILA 75 gr 1/2 OFICIO;UN;9,6;GR;75;0;0;;0,128;25/05/2007
SE300027;TROQ MANILA 75 gr CARTA ESP;UN;12,9;GR;75;0;0;;0,172;25/05/2007
SE300028;TROQ MANILA 75 gr GIGANTE;UN;16,425;GR;75;0;0;;0,219;25/05/2007
SE300029;TROQ MANILA 75 gr GIGANTE ESP;UN;19,95;GR;75;0;0;;0,266;25/05/2007
SE2182084;OFFS 75gr 83,5X55,6cm IMP 0:1;UN;34,82;GR;75;83,5;55,6;CM;0,464;4/06/2007
SE2182103;OFFS 75gr 59,2X98cm IMP 2:0;UN;43,365;GR;75;59;98;CM;0,578;4/06/2007
SE2182267;OFFS 75gr 83,3X63,5cm IMP 0:1;UN;39,672;GR;75;83,3;63,5;CM;0,529;4/06/2007
SE2182287;OFFS 75gr 83X50,5cm IMP 0:1;UN;31,436;GR;75;83;50,5;CM;0,419;4/06/2007
SE2184213;OFFS 75gr 48,3X72,5cm IMP 0:1;UN;26,263;GR;75;48,3;72,5;CM;0,35;4/06/2007
SE2184214;OFFS 75gr 69,5X97,1cm IMP 0:1;UN;50,613;GR;75;69,5;97,1;CM;0,675;4/06/2007
SE2184269;OFFS 75gr 69,5X97,1cm IMP 0:1;UN;50,613;GR;75;69,5;97,1;CM;0,675;4/06/2007
